"","k1","k2","Temp","Sunlight","Predation","Target","Water","T90"
"SMudWislalt",-1.5872,4.2427,6,0,1,2,0,2.4
"SMudWkralt",-6.3338,6.363,6,0,1,2,0,3.8
"SMudWR2lt",-3.5237,4.6044,6,0,1,2,0,3.5
"Sp220Clt",-4.6175,4.6159,20,0,1,3,0,4.4
"Sp24Clt",-8.5591,3.6335,4,0,1,3,0,19.3
"SP25lt",5.4059,4.5811,25,0,1,3,0,0.5
"SP4Cylt",-7.9794,3.6258,4,0,1,3,0,16.6
"SpOverFiltlt",-0.072,2.0411,25,0,0,2,0,3
"SpOverlt",-1.2568,5.2822,25,0,1,2,0,1.9
"ST4lt",-16.4091,3.9005,4,0,0,2,0,117.9
"StBio20lt",-0.4164,4.7199,20,0,1,2,1,1.7
"StBio30lt",4.4886,2.8813,30,0,1,2,1,0.5
"STECA15lt",-1.0201,2.7792,15,0,1,2,0,3.2
"STECA25lt",0.7485,1.8179,25,0,1,2,0,2.2
"STECB15lt",-2.1133,3.1458,15,0,1,2,0,3.9
"STECB25lt",-0.1679,1.7893,25,0,1,2,0,3.8
"StreptNoSunlt",-1.0913,3.3442,24,0,1,1,1,2.7
"StreptSunlt",9.4524,2.6776,24,1,1,1,1,0.1
"SWaterBuglt",-10.2677,6.8504,6,0,1,2,0,6.2
"SWaterLakelt",-9.3473,6.6883,6,0,1,2,0,5.6
"SWaterSonalt",-4.2093,5.5528,6,0,1,2,0,3.2
"SWaterSwiderlt",-9.062,7.8834,6,0,1,2,0,4.2
"SWaterWislalt",-8.8346,7.5768,6,0,1,2,0,4.3
"SWaterWkralt",4.8513,3.2157,6,0,1,2,0,0.4
"SWaterWS2lt",4.6363,3.5509,6,0,1,2,0,0.5
"T1S25lt",-0.0573,3.8061,25,0,1,3,0,1.8
"T1S4lt",-28.9098,9.2614,4,0,1,3,0,28.8
"T4S25lt",-48.9746,14.9683,25,0,1,3,0,30.5
"T7S25lt",-0.1268,3.9367,25,0,1,3,0,1.8
"T7S4lt",-23.4277,7.7082,4,0,1,3,0,27.8
"TCeast_clt",-3.9131,2.4909,9.4,1,1,1,0,11.6
"TCeast_wlt",-0.9354,3.0979,22.7,1,1,1,0,2.7
"TCFA14lt",0.2382,4.1234,14,0,1,1,1,1.6
"TCFA20lt",-2.3793,4.7157,20,0,1,1,1,2.6
"TCFB14lt",-0.1633,3.6914,14,0,1,1,1,1.9
"TCFB20lt",-1.4745,4.0012,20,0,1,1,1,2.5
"TCR10lt",-10.2839,3.9107,10,0,1,1,0,24.3
"TCR20lt",-1.5548,1.5851,20,0,1,1,0,10.7
"TCR4lt",-10.025,6.533,4,0,1,1,0,6.5
"tENTW18cmlt",-6.5379,4.8891,15.6,1,1,1,1,6
"tENTW5cmlt",-4.576,3.8628,15.6,1,1,1,1,5.8
"TwMudBuglt",0.5079,4.8886,24,0,1,2,0,1.4
"TwMudLakelt",-2.7771,5.3245,24,0,1,2,0,2.5
"TwMudSonalt",-2.9498,5.0144,24,0,1,2,0,2.8
"TwMudWislalt",1.369,4.5023,24,0,1,2,0,1.2
"TwMudWkralt",-5.0423,6.1828,24,0,1,2,0,3.2
"TwMudWR2lt",-0.276,4.5321,24,0,1,2,0,1.7
"TwWaterBuglt",5.9608,3.3362,24,0,1,2,0,0.3
"TwWaterLakelt",-1.8217,5.3911,24,0,1,2,0,2.1
"TwWaterSonalt",-1.8119,4.7084,24,0,1,2,0,2.3
"TwWaterSwiderlt",3.3252,4.2867,24,0,1,2,0,0.8
"TwWaterWislalt",1.8457,5.4459,24,0,1,2,0,1.1
"TwWaterWkralt",-1.4712,5.8409,24,0,1,2,0,1.9
"TwWaterWS2lt",1.7275,5.5726,24,0,1,2,0,1.1
"UWLightSummerlt",-4.3321,5.6558,25,1,0,4,0,3.2
"VAF20lt",-13.6879,12.1153,20,0,0,2,0,3.7
"Vmim35estlt",-4.3551,4.9676,35,0,0,2,1,3.7
"Vpara25estlt",-0.0952,3.2875,25,0,0,2,1,2
"Vpara30estlt",-2.9431,5.289,30,0,0,2,1,2.6
"Vpara35estlt",-19.6179,13.1855,35,0,0,2,1,5.2
"VpOverFiltlt",-0.5463,1.1337,25,0,0,2,0,11.2
"VpOverlt",-3.7092,6.388,25,0,1,2,0,2.5
